Search_term,gse,title,summary,overall_design,gpl,sample_number,type,pubmed_id
Alzheimers Disease,GSE83722,Lipid biosynthesis coordinates a Mitochondrial to Cytosolic Stress Response,"Defects in mitochondrial metabolism have been increasingly linked with age-onset protein misfolding diseases such as Alzheimer’s, Parkinson’s, and Huntington’s. In response to protein folding stress, compartment-specific unfolded protein responses (UPRs) within the endoplasmic reticulum, mitochondria, and cytosol work in parallel to ensure cellular protein homeostasis. While perturbation of individual compartments can make other compartments more susceptible to protein stress, the cellular conditions that trigger cross-communication between the individual UPRs remain poorly understood.;We have uncovered a conserved, robust mechanism linking mitochondrial protein homeostasis and the cytosolic folding environment through changes in lipid homeostasis. Metabolic restructuring caused by mitochondrial stress or small molecule activators trigger changes in gene expression coordinated uniquely by both the mitochondrial and cytosolic UPRs, protecting the cell from disease-associated proteins. Our data suggest an intricate and unique system of communication between UPRs in response to metabolic changes that could unveil new targets for diseases of protein misfolding.","Because the induction of the MCSR due to hsp-6 RNAi required both hsf-1 and dve-1, key transcription factors required for the HSR and UPRmt, respectively, we asked which gene sets are coordinately regulated by both factors.  We performed microarray analyses to determine which genes have their expression altered by hsp-6 RNAi and whether these genes are regulated either by hsf-1, dve-1 or both",GPL200,12,Expression profiling by array,NA
Alzheimers Disease,GSE84422,Molecular Signatures Underlying Selective Regional Vulnerability to Alzheimer's Disease,"Alzheimer's disease (AD) is the most common form of dementia, characterized by progressive cognitive impairment and neurodegeneration as a result of abnormal neuronal loss. To elucidate the molecular systems associated with AD, we characterized the gene expression changes associated with multiple clinical and neuropathological traits in 1,053 postmortem brain samples across 19 brain regions from 125 persons dying with varying severities of dementia and variable AD-neuropathology severities.",125 human brains were accessed from the Mount Sinai/JJ Peters VA Medical Center Brain Bank (MSBB). This brain resource was assembled after applying stringent inclusion/exclusion criteria and represents the full spectrum of clinical and neuropathological disease severity in the absence of discernable non-AD neuropathology. RNA samples from 19 brain regions isolated from the 125 MSBB specimens were collected and profiled using Affymetrix Genechip microarrays. There were 50 to 60 subjects per brain region with varying degrees of AD pathological abnormalities.,"GPL96, GPL97, GPL570",2004,Expression profiling by array,NA
Alzheimers Disease,GSE80970,Cortical hypermethylation across an extended region spanning the HOXA gene cluster on chromosome 7 is robustly associated with Alzheimer's disease neuropathology,Alzheimer's disease is a progressive neurodegenerative disorder that is hypothesized to involve epigenetic dysfunction. We undertook an epigenome-wide association study across three independent brain tissue cohorts (total n = 999) to identify differential DNA methylation associated with neuropathology in the superior temporal gyrus and prefrontal cortex. We present robust evidence for elevated DNA methylation associated with AD neuropathology across an extended region spanning the HOXA gene cluster on chromosome 7.,Prefrontal cortex and superior temporal gyrus tissue from 147 individuals with varying levels of AD pathology. DNA modifications for these samples were quantified using the Illumina Infinium Human 450K Methylation Array.,GPL13534,286,Methylation profiling by genome tiling array,NA
Alzheimers Disease,GSE84244,Genome-wide maps of chromatin state in medium spiny neurons in the striatum of adult mice,"Normal brain function critically depends on the interaction between highly specialized neurons that operate within anatomically and functionally distinct brain regions. The fidelity of neuronal specification is contingent upon the robustness of the transcriptional program that supports the neuron type-specific patterns of gene expression. Changes in neuron type-specific gene expression are commonly associated with neurodegenerative disorders including Huntington’s and Alzheimer’s disease. The neuronal specification is driven by gene expression programs that are established during early stages of neuronal development and remain in place in the adult brain. Here we show that the Polycomb repressive complex 2 (PRC2), which supports neuron specification during early differentiation, contributes to the suppression of the transcription program that can be detrimental for the adult neuron function. We show that PRC2 deficiency in adult striatal neurons and in cerebellar Purkinje cells impairs the maintenance of neuron-type specific gene expression. The deficiency in PRC2 has a direct impact on a selected group of genes that is dominated by self-regulating transcription factors normally suppressed in these neurons. The age-dependent progressive transcriptional changes in PRC2-deficient neurons are associated with impaired neuronal function and survival and lead to the development of fatal neurodegenerative disorders in mice.",Medium Spiny neuronal nuclei were isolated from adult mouse striata via NeuN-specific Flourescence Activated Nuclei Sorting.,GPL13112,5,Genome binding/occupancy profiling by high throughput sequencing,NA
Alzheimers Disease,GSE84243,"Microarray analysis of striatal tissue of wild type and Ezh1/Ezh2 dKO mice at 6 weeks, 3 months, and 6 months","Normal brain function critically depends on the interaction between highly specialized neurons that operate within anatomically and functionally distinct brain regions. The fidelity of neuronal specification is contingent upon the robustness of the transcriptional program that supports the neuron type-specific patterns of gene expression. Changes in neuron type-specific gene expression are commonly associated with neurodegenerative disorders including Huntington’s and Alzheimer’s disease. The neuronal specification is driven by gene expression programs that are established during early stages of neuronal development and remain in place in the adult brain. Here we show that the Polycomb repressive complex 2 (PRC2), which supports neuron specification during early differentiation, contributes to the suppression of the transcription program that can be detrimental for the adult neuron function. We show that PRC2 deficiency in adult striatal neurons and in cerebellar Purkinje cells impairs the maintenance of neuron-type specific gene expression. The deficiency in PRC2 has a direct impact on a selected group of genes that is dominated by self-regulating transcription factors normally suppressed in these neurons. The age-dependent progressive transcriptional changes in PRC2-deficient neurons are associated with impaired neuronal function and survival and lead to the development of fatal neurodegenerative disorders in mice.","There are 23 total samples. There are three ages, 6 weeks, 3 months and 6 months. There are at least three biological replicates per group. Control samples are age- and sex-matched littermates.",GPL1261,23,Expression profiling by array,NA
Alzheimers Disease,GSE84767,Genetics of the hippocampal transcriptome in mouse: a systematic survey and online neurogenomics resource,"The Hippocampus Consortium data set provides estimates of mRNA expression in the adult hippocampus of 99 genetically diverse strains of mice including 67 BXD recombinant inbred strains, 13 CXB recombinant inbred strains, a diverse set of common inbred strains, and two reciprocal F1 hybrids.;The hippocampus is an important and intriguing part of the forebrain that is crucial in memory formation and retrieval, and that is often affected in epilepsy, Alzheimer's disease, and schizophrenia. Unlike most other parts of the brain, the hippocampus contains a remarkable population of stems cells that continue to generate neurons and glial cells even in adult mammals (Kempermann, 2005). This genetic analysis of transcript expression in the hippocampus (dentate gyrus, CA1-CA3) is a joint effort of 14 investigators that is supported by numerous agencies described in the acknowledgments section.","Pooled RNA samples (usually one pool of male hippocampii and one pool of female hippocampii) were prepared using standard protocols. Samples were processed using a total of 206 Affymetrix GeneChip Mouse Expression 430 2.0 short oligomer arrays (MOE430 2.0 or M430v2; see GEO platform ID GPL1261), of which 201 passed quality control and error checking. This particular data set was processed using the PDNN protocol. To simplify comparisons among transforms, PDNN values of each array were adjusted to an average of 8 units and a standard deviation of 2 units.",GPL1261,201,Expression profiling by array,20582282
Alzheimers Disease,GSE67761,Genome-wide analysis of RARß transcriptional targets in mouse striatum links retinoic acid signaling with Huntington’s disease and other neurodegenerative disorders,"Transcriptome analysis of  nucleus accumbens shell samples from RARß-null mutant mice and their wild type littermates;The active vitamin A derivative retinoic acid (RA) is an important regulator of adult brain functions. How these regulations are achieved is poorly known, partly due to the paucity of information on RA molecular targets. The striatum, the region involved in control of motor, cognitive and affective functions, may be particularly prone to such regulation as it displays the highest levels of RA and its receptors (RARs). We report the first genome-wide analysis of RAR-binding sites in the brain. Using chromatin immunoprecipitation followed by high-throughput sequencing (ChIP-seq), as well as transcriptomic analysis of RARß-null mutant mice, we identified genomic transcriptional targets of RARß in the striatum. Our data point to a strong contribution of RARß in controlling neurotransmission, energy metabolism, and transcription, with a particular involvement of G-protein, cAMP and calcium signaling. Quantitative PCR analysis of striatal subregions revealed a higher sensitivity of ventral structures (nucleus accumbens) to lack of RARß signaling. There is a high overlap of transcriptional targets of RARß and genes affected in expression in Huntington’s disease (HD), and we observed a decrease of RARß expression in the striatum of R6/2 transgenic mice, a murine model of HD. A large number of genes bearing RARß binding sites have also been implicated in Alzheimer’s and Parkinson’s diseases, raising the possibility that compromised RA signaling in striatum may be a mechanistic link explaining the similar affective and cognitive symptoms of these diseases. Globally, our data point to a possibility of a neuroprotective function of RARß in the striatum.","We analyzed nucleus accumbens from 11 mice (6 WT, 5 RARß-null mutant mice) using the Affymetrix GeneChip Mouse Gene 1.0 ST arrays.",GPL6246,11,Expression profiling by array,27405468
Alzheimers Disease,GSE67829,Genome-wide analysis of RARß transcriptional targets in mouse striatum links retinoic acid signaling with Huntington’s disease and other neurodegenerative disorders,"The active vitamin A derivative retinoic acid (RA) is an important regulator of adult brain functions. How these regulations are achieved is poorly known, partly due to the paucity of information on RA molecular targets. The striatum, the region involved in control of motor, cognitive and affective functions, may be particularly prone to such regulation as it displays the highest levels of RA and its receptors (RARs). We report the first genome-wide analysis of RAR-binding sites in the brain. Using chromatin immunoprecipitation followed by high-throughput sequencing (ChIP-seq), as well as transcriptomic analysis of RARß-null mutant mice, we identified genomic transcriptional targets of RARß in the striatum. Our data point to a strong contribution of RARß in controlling neurotransmission, energy metabolism, and transcription, with a particular involvement of G-protein, cAMP and calcium signaling. Quantitative PCR analysis of striatal subregions revealed a higher sensitivity of ventral structures (nucleus accumbens) to lack of RARß signaling. There is a high overlap of transcriptional targets of RARß and genes affected in expression in Huntington’s disease (HD), and we observed a decrease of RARß expression in the striatum of R6/2 transgenic mice, a murine model of HD. A large number of genes bearing RARß binding sites have also been implicated in Alzheimer’s and Parkinson’s diseases, raising the possibility that compromised RA signaling in striatum may be a mechanistic link explaining the similar affective and cognitive symptoms of these diseases. Globally, our data point to a possibility of a neuroprotective function of RARß in the striatum.",Genome-wide mapping of RARß and H3K4me3 binding sites in mouse caudate putamen,GPL17021,3,Genome binding/occupancy profiling by high throughput sequencing,27405468
Alzheimers Disease,GSE72782,5-Hydroxymenthylation-associated Epigenetic Modifiers in Alzheimer's disease,"Alzheimer's disease (AD) is a chronic neurodegenerative disorder characterized by progressive deterioration of cognitive function. Evidence suggests a role for epigenetic regulation, in particular the cytosine modifications 5-methylcytosine (5mC) and 5-hydroxymethylcytosine (5hmC,) in AD. 5hmC is highly enriched in the nervous system and displays neurodevelopment and age-related changes. To determine the role of 5hmC in AD, we performed genome-wide analyses of 5hmC in DNA from prefrontal cortex of post-mortem AD as well as RNA-Seq to correlate changes in methylation status with transcriptional changes. We also utilized the existing AD fly model to further test the functional significance of these epigenetically altered loci. We identified 325 genes containing differentially hydroxymethylated loci (DhMLs) in both the discovery and replication datasets, and these are enriched for pathways involved in neuron projection development and neurogenesis. Of the 325 genes identified, 140 also showed changes in gene expression by RNA-Seq. Proteins encoded by genes identified in the current analysis form direct protein-protein interactions with AD-associated genes, expanding the network of genes implicated in AD. Furthermore, we identified AD-associated single nucleotide polymorphisms (SNPs) located within or near DhMLs, suggesting that these SNPs may identify regions of epigenetic gene regulation that play a role in AD pathogenesis. Finally using the existing AD fly model we showed that some of these genes could modulate the toxicity associated with AD. Our data implicate neuron projection development and neurogenesis pathways as potential targets in AD.  These results indicate that incorporating epigenomic and transcriptomic data with GWAS data can expand the known network of genes involved in disease pathogenesis. Combination of epigenome profiling and Drosophila model enables us to identify the epigenetic modifiers of Alzheimer's disease.","University of Kentucky Alzheimer's Disease Research Center (3 control, 3 Alzheimer's) and Emory University Alzheimer's Disease Research Center (2 control, 2 Alzheimer's)",GPL11154,10,Other;Methylation profiling by high throughput sequencing,27060332
Alzheimers Disease,GSE84481,microRNA-132/212 deficiency enhances Ab production and senile plaque deposition in Alzheimer’s disease triple transgenic mice,"The abnormal regulation of amyloid-b (Ab) metabolism (e.g., production, cleavage, clearance) plays a central role in Alzheimer’s disease (AD). Among endogenous factors believed to participate in AD progression are the small regulatory non-coding microRNAs (miRs). In particular, the miR-132/212 cluster is severely reduced in the AD brain. In previous studies we have shown that miR-132/212 deficiency in mice leads to impaired memory and enhanced Tau pathology as seen in AD patients. Here we demonstrate that the genetic deletion of miR-132/212 promotes Ab deposition and amyloid (senile) plaque formation in triple transgenic AD (3xTg-AD) mice. Using RNA-Seq and bioinformatics, we identified genes of the miR-132/212 network with documented roles in the regulation of Ab metabolism, including Tau, Mapk, and Sirt1.",We used RNA-Seq to analyse the hippocampus of 3xTg-AD mice lacking the miR-132/212 cluster as well as Neuro2a cells overexpressing miR-132 mimics.,GPL17021,4,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE77668,Expression mRNA and miRNA data from human postmortem putamen samples measured using the NanoString nCounter platform,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,"GPL21436, GPL21437",48,Expression profiling by array;Non-coding RNA profiling by array,NA
Alzheimers Disease,GSE77667,Expression miRNA data from human postmortem putamen samples measured using the NanoString nCounter platform,"Background: Molecular adaptations in the striatum mediated by dopamine (DA) denervation or Levodopa (L-dopa) treatment have been implicated with the motor deficits found in Parkinson’s disease (PD). Alterations in glutamatergic neurotransmission and anti-oxidant mechanisms are reported to play important roles in mediating these changes. However, the mechanisms mediating the molecular adaptations in the striatum are not well understood. In recent years, microRNAs (miRNAs) have been recognized as potent post-transcriptional regulators of gene expression with fundamental roles in numerous biological processes. miRNAs are known to influence the development and maintenance of striatal neurons. Therefore, we sought to determine the genome-wide expression levels of miRNAs in PD striatal tissues.;;Methods: Using a digital gene expression platform to quantify miRNA levels, we compared the expression of 800 miRNAs in human postmortem putamen tissues from PD patients and controls.;;Results: We detected the expression of approximately 250 miRNAs in postmortem human putamen samples collected from patients with PD and healthy controls. There was an abundance of a subset of 17 miRNAs (10 up- and 7 down-regulated) differing substantially between PD and the control tissues.;;Conclusions: We identified deregulated miRNAs most likely associated with altered striatal functions found in PD. This approach may provide insight into pathogenesis and additional therapeutic targets for the development novel treatment strategies for the disease.","Human postmortem putamen tissues from 12 patients with PD symptoms and 12 neurologically normal controls. Samples were obtained from the Human Brain and Spinal Fluid Resource Center, Los Angeles, CA through NIH NeuroBioBank, and stored at -80°C until RNA isolation. Total RNA was extracted using the miRVana RNA isolation kit, following the manufacturer’s instructions (Ambion). Using 225ng total RNA, miRNA levels were assayed by direct digital detection using Nanostring miRNA assay kits (Nanostring Technologies).",GPL21437,24,Non-coding RNA profiling by array,NA
